region,per_capita_income_rub,median_income_per_capita_rub,milk_consumption_per_capita,sugar_consumption_per_capita,urban_population_pct,male_to_female_ratio,under_working_age_population_pct,working_age_population_pct,above_working_age_population_pct,dependency_ratio,birth_rate_per_1000,death_rate_per_1000,infant_mortality_per_1000_births,natural_increase_rate_per_1000,marriage_rate_per_1000,divorce_rate_per_1000,migration_increase_rate_per_10000,library_books_per_1000,library_users_total,milk_production_total,milk_production_per_cow,forest_coverage_pct,disease_incidence_infectious,disease_incidence_cancer,disease_incidence_blood,disease_incidence_endocrine,disease_incidence_nervous,disease_incidence_eye,disease_incidence_ear,disease_incidence_circulatory,disease_incidence_respiratory,disease_incidence_digestive,disease_incidence_skin,disease_incidence_musculoskeletal,disease_incidence_genitourinary,disease_incidence_congenital,disease_incidence_trauma,disease_incidence_all,air_pollutant_emissions,captured_air_pollutants_pct,wastewater_discharge,gross_preschool_coverage,qualified_workers_grads,mid_level_specialists_grads,bachelors_specialists_masters_grads,electronic_data_exchange_pct,personal_computer_households_pct,internet_access_households_pct,broadband_access_households_pct,daily_internet_usage_pct,bus_passenger_transport,buses_per_100000,unemployed_per_vacancy,stadiums_1500_seats,sports_facilities_fields,sports_facilities_gyms,sports_facilities_pools,alcoholism_patients_per_100k,drug_addiction_patients_per_100k,substance_abuse_patients_per_100k,disabled_population_per_1000,population_total,crimes_murder_attempts,crimes_grievous_bodily_harm,crimes_robbery,crimes_armed_robbery,crimes_hooliganism,crimes_drug_related,nominal_wages_avg_rub,poverty_rate_pct_region
Белгородская область,41022,32811,269,45,65.4,1158,16.7,56.4,26.9,773,7.1,14.2,4.2,-7.1,7.4,4.3,-73,6044,826,721.776,8543,8.8,21.3,8.7,1.6,7.3,18.8,22.9,25.8,37.1,369.4,17.3,33.8,30.8,46.5,0.8,91.3,54.5,158,82.8,58.6,77.61596484,1.6,6.8,8.7,57.2,60.2,78.1,77.5,73.7,102,92.43810114,0.2209844702,22,3272,899,156,598.2,57.8,0.5,123.3,1536.5,102,131,212,21,2,1274,47638,6.1
Брянская область,35722,28677.8,190,32,69.6,1183,17.1,56.1,26.8,782,7.1,15.6,5.4,-8.5,6.4,4.7,-20,6870,484,304.618,6313,32.9,23,14.3,2,13.3,10,22.4,21,34.4,447.7,45.3,34.7,26.8,33.1,1.4,101.7,65.9,54,88.6,52.06,72.8549688,1.3,5,4.5,61.7,64.1,81.1,80.9,75.9,74.7,121.2142247,0.488421898,16,1374,686,56,1506.4,213,2.1,90,1164.7,58,119,247,23,4,976,40804,12
Владимирская область,32321,27587.1,216,32,77.6,1203,16.2,55.5,28.3,800,6.6,16.8,4.2,-10.2,6.6,4.4,-23,6621,495,471.881,9008,51.6,22.9,13.9,1.8,8.9,9.1,22.3,25,26.3,567.4,20.3,40.9,30.2,37.1,1.6,99.1,115.7,73,15.5,91.32,88.62864095,1.8,5.5,5.3,60.3,67.8,79.4,79.2,81.2,84.1,73.63203597,0.3217033338,30,1776,847,71,1392.2,121.8,2.9,90.5,1342.2,54,168,381,28,6,1322,45677,10.4
Воронежская область,39319,30806.9,293,52,68.5,1165,16,56.4,27.6,773,7.5,15.3,3.6,-7.8,7.3,4.4,3,5967,865,1055.849,8645,8.3,11.8,6.4,2,11.2,8,20.5,15.2,37,280.6,21.2,19,12.1,21.5,0.7,57.9,135.8,115,52.6,121.46,76.13124041,2.9,8.7,17.7,55.9,79.5,90.4,89.7,86.1,146.3,106.1575771,0.511452396,10,4296,1338,72,1284.8,217.6,4.1,93.9,2302.6,87,183,451,70,10,2091,46277,7.2
Ивановская область,34275,26967.9,195,34,82.1,1228,16.1,55.6,28.3,797,7.5,17.3,5.8,-9.8,6.9,4.9,-4,8560,383,157.35,7054,45.6,25.7,14.1,1.8,17.2,16.1,49.7,62.7,38.3,400.8,29.8,38.3,44.7,85.1,3.3,107.2,124.8,25,20.7,58.19,93.66638581,1.2,3.8,4.7,60.9,71,84.4,83.4,81.6,53.1,126.9233923,0.2640164849,14,1043,542,38,1172.6,115.1,5,78.8,924.1,38,112,252,42,6,747,36380,11.5
Калужская область,35509,31476.3,253,27,74.9,1109,16.8,57,26.2,753,7.9,14.2,3.4,-6.3,6.5,5,41,6675,409,489.544,8959,45.1,21.1,10.3,2.3,7.3,19.4,24.9,26.1,31.4,576.4,32.6,49.6,40,35.5,1.2,77.5,82.8,31,63.9,72.86,77.11596315,0.6,3.9,3.7,58.1,72.6,79.2,75.8,77.1,50.1,105.4299703,0.2332631193,15,930,625,76,762.1,104.7,1,76.8,1073.3,46,130,248,34,13,1187,53910,7.9
Костромская область,34450,27139.8,216,29,74.1,1202,18.5,52.8,28.7,894,7.8,17.1,3.9,-9.3,7.3,5.1,-14,10356,284,117.682,6809,73.3,17.1,12.5,2.9,10.3,8.3,18.3,22.8,26.7,482.9,15.1,37.5,15.5,29.3,1.7,107.8,79,40,36,38.08,89.54498685,0.7,2.7,1.6,51.7,69,78.1,77.5,81.2,31.8,112.7819549,0.2743706707,6,718,411,33,1349.9,161.6,4.7,90.6,578,36,55,118,14,10,671,40242,11
Курская область,37632,30339.6,195,54,68.5,1206,17,55.2,27.8,812,7.4,16.2,4.6,-8.8,7,4.7,-16,8195,492,436.559,9256,8.2,11.5,9,1.4,10.4,7,12.7,12.2,31.4,354,10.2,30.5,7.5,12.6,0.7,62.7,57.2,51,43.6,7.96,60.61467575,1.6,5.4,7.1,59.5,64,83.4,83.4,82.1,72.5,106.4633367,0.2592016114,9,1095,683,49,886.5,83.2,3.2,110.7,1078.2,89,100,152,19,5,855,46059,8.1
Липецкая область,38926,31756.8,223,51,63,1183,16.9,56,27.1,784,7.1,15.2,3.2,-8.1,6.6,4.3,-24,6908,456,308.107,8218,8.8,17.6,8.1,1.1,8.3,4.9,20.8,18.9,32.3,304.4,14.4,32.7,17.8,33.4,0.7,79.1,72.8,300,75.1,64.6,76.39782286,1.4,4.8,4,59.9,64.4,77.8,77.8,76.7,88.9,108.4116232,0.2855071358,22,2175,654,58,1098.2,110.1,2,100.9,1138.1,44,93,275,19,6,1212,46711,7.2
Московская область,55109,48004.7,250,43,78.3,1103,18.5,58.7,22.8,703,8.6,11.7,3.7,-3.1,7.4,4.3,90,1928,1756,731.698,8053,42,19.1,8.8,1.3,6.5,9,17.8,16.9,25.7,366.2,17.5,37.5,19.5,23.3,0.6,82.8,69.8,169,97.5,806.36,75.61416526,5.7,21,15.3,54.6,83.1,89.7,88.8,89.3,672,113.0621332,0.3765233518,119,3001,2528,348,763.6,178.3,4.3,54.43334288,8542.3,344,776,1375,232,107,7257,70705,5.5
Орловская область,34138,27467.4,199,38,66.6,1199,16.3,55.4,28.3,804,7,17.2,8,-10.2,6.7,4.5,-36,6841,259,161.629,6331,8,23,11.9,2.2,13.6,17,43,39.7,34.8,658.5,25.5,55.8,43,59.2,2.6,109.3,93.4,25,47.7,43.57,76.33277993,0.7,3.2,5.8,67,69.3,76.5,76.5,75.6,45.8,106.9578281,0.2285804284,3,581,598,34,1313.6,103.2,1.7,82.5,710,30,67,155,16,8,502,40843,11.5
Рязанская область,33379,27604.4,238,38,71.4,1209,15.8,55.4,28.8,805,6.4,16.1,6.4,-9.7,6.7,4.1,9,5806,492,594.674,9048,25.1,22.8,11.3,1.8,14.8,11,20.4,20.8,37,382.1,16.3,37.7,23.9,32.8,2.1,89.4,89,83,97.9,71.25,75.62210819,0.7,5.1,5.6,54.8,55.5,87.5,85.2,76.3,62.9,98.99735334,0.2688427727,13,1329,612,59,1035.6,117,1.6,115,1098.6,50,91,141,21,5,1341,45770,11.8
Смоленская область,35094,27356.7,220,38,72.7,1211,15.8,56.1,28.1,783,6.2,16.8,4.2,-10.6,6.9,4.7,-52,9132,442,148.973,5223,41.8,15.7,7.3,2.2,11.6,9.1,19,18.9,30.1,393.2,24.7,31.8,18.6,24.6,2.7,88.5,70.5,48,70.2,44.35,78.45446022,0.9,3.7,4.1,60.3,63.7,81.2,80.3,78.5,31.1,105.1497009,0.3099914603,24,1320,925,67,1390.4,182.5,5,79,886.9,50,106,339,20,15,1426,41717,12.8
Тамбовская область,34092,27696.7,159,53,60.4,1169,14.2,55.7,30.1,794,6.8,16.8,4.9,-10,6,4,-33,9351,517,190.335,7472,10.6,16.3,6.8,2,9,10.7,16.7,20,29.1,387,12.1,21.4,18.9,23.9,1.6,62.8,106.7,62,15.7,40.37,93.27040805,1.4,4.6,5.5,58.5,68.4,83.1,79.9,77.9,56.8,85.89909444,0.3304401736,21,2878,656,41,1398,74.2,3.8,107.5,979.2,44,99,195,15,21,1575,39346,10.5
Тверская область,35203,29379.3,180,44,76.3,1195,16.6,55,28.4,817,7.3,17.9,6.4,-10.6,7.2,4.6,-16,7894,511,203.504,6273,54.7,22.5,12.5,2.4,11.6,15.1,27.6,25,26.5,441.2,20.5,37.8,29.6,52.5,1.7,95.9,113.4,51,76.4,69.14,82.74476914,1.1,5.2,4.6,52.3,64.6,78.4,74.8,77.2,119.8,84.29774856,0.2725931885,17,2578,880,68,1194.6,107.7,2.1,77.6,1226,80,147,420,27,17,1107,45732,9.6
Тульская область,34442,29584.2,137,32,73.2,1211,14.6,56,29.4,787,6.4,16.6,4.8,-10.2,6.9,4.1,-0.2081822333,4444,533,201.352,8555,14.3,15.7,8.4,2.1,15.9,15.2,25.4,20.4,38.1,420.8,25.9,23.3,28.5,31.3,0.8,57.7,104.4,110,79,127.58,76.47955741,1.5,6.2,5.9,53.8,84,90.5,88.9,83.8,63.4,131.3559293,0.08964355687,17,1344,638,50,994.6,122.6,4.5,100.1,1496.7,55,153,283,47,4,1053,51218,9.4
Ярославская область,38060,30524.1,227,50,81,1226,17.7,55.3,27,809,7.7,16.2,3.7,-8.5,7.2,4.6,-7,6663,451,355.443,7861,45.7,22.4,13.3,2,14.4,10.4,25.5,26,19.8,529,22.6,37,27.5,38.6,1.8,108.5,97.5,87,14.4,146.39,89.04312928,2.4,5.7,5.3,55.5,64.5,77.8,77.3,80.8,117.6,114.3474203,0.4074723989,12,1299,569,33,842,107.1,3.5,77.7,1205.6,62,149,337,31,14,896,47388,8.8
Москва,95465,73458.6,233,42,100,1154,15.8,57.3,26.9,744,9.4,9.7,3.5,-0.3,7.9,3.7,71,6266,1371,4.38,7692,1,19.8,11.6,1,7.4,8.4,24.7,20.5,11.8,330.7,13.5,41.1,14.8,32.8,1.3,87.3,82.8,65,61,736.55,53.8724873,5.7,39.2,176.1,50.6,94.4,96.7,96.2,92.4,1036.9,71.15288507,0.3853957149,27,16313,4471,499,323.2,159.4,2.9,77.59183555,13015.1,413,543,1537,374,206,10334,125638,5
Республика Карелия,44880,33367.9,223,40,79.7,1230,17.2,54.8,28,823,8.2,18.2,5.1,-10,9.1,5.3,15,7563,152,61.128,7412,53.2,69.3,19.5,3.9,17.1,21,34.2,42.5,35.1,784.4,46,71.2,61.9,76,6,136.8,181.9,134,46.3,112.18,105.3353659,0.7,2.6,1.9,54.5,71.3,80.9,80.1,78.9,12.4,89.7931348,0.5727238383,4,622,422,38,778.2,71.2,5.1,97.1,532.4,58,116,374,19,3,513,56458,12.9
Республика Коми,46638,34633.8,254,34,77.7,1161,18.8,57.5,23.7,740,8.7,14.3,4,-5.6,6.8,5.2,-53,6388,347,54.379,5232,72.6,41.7,17.9,3.6,10.8,10.6,25.5,20.7,22.3,589.9,19.4,67.6,21.3,53.8,2,126.1,139.5,352,34.2,168.12,106.8992809,1.1,2.8,2.2,53.2,65.5,80.3,80.3,82.8,44.6,87.55096815,0.5964644052,7,772,503,43,1120.1,107.5,2.3,77.1,734.4,70,201,296,23,8,891,68790,14
Архангельская область,48356,35748.2,206,40,77.7,1162,18.1,55.3,26.6,808,8.1,15.5,4.4,-7.4,7.2,5.1,-28,7435,392,141.155,7798,43.1,42.1,14.5,4.7,15.6,14.7,28.4,25.6,26.8,575.2,60.6,44.9,43.1,48.6,3.7,119.5,125.4,206,60.8,277.51,99.23889148,2.3,4,3.1,54.6,73.3,82.4,81.8,81.8,51.7,80.34308885,0.7914560885,8,1154,805,58,953.3,64.6,NA,79,1016,116,178,471,47,10,1109,67835,11.8
Ненецкий автономный округ,104109,71497.5,NA,NA,74.5,1084,22.5,58.7,18.8,704,11.6,10.7,4.1,0.9,6.1,3.9,-20,9421,24,3.797,4957,18,45.6,15.7,10.4,31.8,24.7,43.4,32.8,41.2,744.2,81.6,41.9,57.9,63.3,4.1,64.1,115.2,89,0.9,0,106.3856559,0.1,0.2,NA,45.6,70.1,85.4,84.3,72.8,2.6,94.24159679,0.7985074627,NA,39,96,2,1457.1,12.1,NA,67.3,41.4,3,12,4,0,0,26,106949,9
Архангельская область без автономного округа,45975,34653.5,NA,NA,77.8,1165,17.9,55.1,27,814,7.9,15.7,4.5,-7.8,7.3,5.1,-29,7349,368,137.358,7935,53.9,42,14.5,4.5,14.9,14.3,27.7,25.3,26.2,568,59.7,45,42.5,47.9,3.7,121.9,125.9,117,73.1,277.51,98.83935637,2.3,3.8,3.1,55.9,73.4,82.3,81.7,82.2,49.1,80.34308885,0.7910762737,8,1115,709,56,931.7,66.9,9.9,79.4,974.6,113,166,467,47,10,1083,64417,10.9
Вологодская область,35444,29350,254,42,72.5,1182,19.2,55.1,25.7,816,8.2,14.5,3.6,-6.3,6.4,4.5,-22,6115,738,607.546,8363,68.3,27.9,11.9,5.4,13.9,22.2,33.5,36.5,26.1,589,27.6,54.3,40.5,38.2,2.3,89.2,116.8,352,71.4,64.71,90.75644109,1.7,4.9,3.4,52.5,73,80.8,80,82.3,66.9,74.68226814,0.4370820201,9,918,635,59,684.7,103.7,2.2,81.4,1138.4,76,205,351,34,19,794,53580,11
Калининградская область,34506,29129.9,238,46,76.6,1115,17.7,58.1,24.2,720,7.9,12.7,5.4,-4.8,9.4,5.5,61,4284,283,230.582,8427,18.8,28.3,18.6,2.1,10.1,12.3,22.7,15.4,47.8,349.4,29.5,39.9,33,33.8,2.4,44.3,96.9,27,66.8,88.12,80.64850762,0.8,4.2,3.5,53.6,77.9,90.2,89.5,85.3,79.8,110.7190149,0.5095053525,7,1134,470,51,761.4,116.9,1.5,66.3,1031,30,84,202,18,15,736,47349,12
Ленинградская область,38963,33571.5,280,40,67.1,1128,14.1,60.4,25.5,656,6,12.9,3.8,-6.9,5,3.4,157,3296,579,679.116,9435,57.7,16.5,7.5,2.2,10.4,11.8,16.2,18,41.6,366.1,33.2,22,22.8,30.7,1,41.4,97,248,75.1,290.52,87.41542894,1.1,3.2,0.8,55.2,76.4,84.6,84,83.5,69.8,78.41811829,0.1109760015,21,1947,864,103,460.3,130.1,2.1,65.01721607,2006,99,228,568,66,41,1614,60008,7
Мурманская область,62601,48438.3,237,33,93,1120,19.1,59.4,21.5,682,8.5,13.2,3.8,-4.7,8.3,5.7,-52,7645,416,15.158,5324,37.4,29.7,13.5,3,15,13.6,23,22.4,21.2,572.5,26.7,40.2,30.2,54.9,1,68.1,91.3,130,92.3,110.83,90.85925755,0.8,2.9,1.2,58.2,78.6,87.6,87.6,89.9,39.1,121.2998977,0.1846874187,7,395,404,46,721.9,135,2.7,41.1,665.2,36,148,220,24,4,926,87326,8
Новгородская область,33729,27659.9,242,37,73.1,1229,17.7,54.5,27.8,834,7.4,17.1,4.3,-9.7,7.3,5,-1,8015,350,66.936,5302,64.4,24.5,11.8,1.7,11.9,7.8,17.3,14.3,35.3,503.3,12.1,21.5,17.2,45.4,2,77.8,76.1,62,70.9,22.24,87.56658132,0.8,2.2,1.4,60.6,66.7,75.9,73.3,73.8,34.6,100.1864823,0.4117429838,2,917,332,35,781.7,181.4,6.3,92.8,581.6,35,79,230,22,10,873,45247,11.9
Псковская область,33090,26488.6,292,37,70.9,1206,16.4,54.9,28.7,823,7.3,18.3,5.7,-11,7.9,5,-44,10766,263,208.928,7764,38.8,23.1,7.9,2,6.9,9.8,19,19.7,24.7,443.5,23.5,33.6,19.5,26.8,1.2,61.1,83.9,42,28,31.59,81.82362271,0.7,2.3,1.9,54.9,54.9,73.9,73.8,78.1,33.9,140.6974647,0.2075197341,7,639,339,19,1295.2,88.1,1.9,77.7,596.9,24,77,127,11,1,677,38966,14.3
Санкт-Петербург,63495,50215.5,309,37,100,1217,15.1,59.4,25.5,684,9,11.6,3.5,-2.6,10.4,4.8,12,9912,1311,NA,NA,13.7,32.5,17,2.2,15.8,15.8,30.3,31.2,30.5,604.4,32.2,54.5,36.7,49.4,2.3,121.8,171.6,70,25.1,932.7,89.07391058,5.6,20.2,64.6,58.7,83.9,87.4,86.6,90.4,558,91.60642309,0.7620238467,8,2972,2010,395,322.9,160.5,1.3,100.8760014,5607.9,134,313,1035,182,108,6570,86630,4.5
Республика Адыгея,36397,29281.9,212,46,49,1138,19.8,57,23.2,755,8.7,12.3,4.3,-3.6,5.4,4.2,30,4957,172,120.203,5337,36.7,14.3,7,2.1,7.3,20.3,29,24.4,44.7,280.7,21.4,33.7,34.2,37.3,0.4,67.9,85.7,18,12.8,24.09,66.09217264,0.6,1.6,3.7,50.8,57,88,88,88.6,4.3,96.5892547,0.292630178,3,678,223,12,776.1,99,0.4,71.3,498.3,16,39,45,6,0,258,40231,11.6
Республика Калмыкия,23684,20097,221,25,47,1071,21.6,56.1,22.3,782,9.1,10.4,4,-1.3,5.2,5.2,-60,9339,97,41.179,NA,0.2,16.7,6.5,2,4.2,8.4,16.5,22.4,19.4,407.3,13.4,25.9,12.6,51.4,1.3,42,150.3,3,3.3,11.69,63.20663812,0.5,1.6,1.5,53.1,63.1,95.2,95.2,92.4,3.8,70.70397719,1.145637163,2,305,185,4,706.7,28.7,1.5,83.7,266.4,19,40,29,2,3,224,36349,20.9
Республика Крым,28699,24681.1,152,38,50.3,1158,18.7,55.4,25.9,806,8.6,14.8,5.5,-6.2,7.1,3.9,-12,5432,537,198.286,7647,10.7,18.2,10.1,1.9,11.9,8.8,19.2,310.5,29.8,287.2,17,22.8,31.6,44,2.3,56.5,35.4,40,62.9,98.05,65.6673822,3.4,6.6,7.6,50.9,78.7,83.2,83,83.4,133.7,117.2263219,0.49545684,30,1546,754,27,934.1,222.8,3,68,1931.1,72,154,225,41,10,2343,41986,14.5
Краснодарский край,48279,37188.6,243,52,57.1,1122,19,56.4,24.6,775,9.2,13.5,4,-4.3,8.1,5.1,20,3892,1626,1630.11,9349,20.2,15.4,9.3,2.1,13.1,16.3,24.3,19.4,57.2,311.6,24.1,24.6,26.4,27.4,1.1,80.1,55.7,358,75.1,800.87,64.82926084,6.6,27.9,22.2,47.5,71.2,89.1,87,86.3,239.2,100.7158022,0.2717939569,87,5672,2537,201,223.2,44.8,0.5,78.3,5832,207,518,826,140,64,7010,50252,9
Астраханская область,31119,25038,200,44,64.1,1129,21.2,56.3,22.5,776,10.1,12.7,5.6,-2.6,6.1,5.7,-50,6065,328,178.222,1712,1.8,13.2,7.7,3.3,15.1,17.4,27.8,27.4,41.9,375.6,26.8,12.8,35.9,34.3,2.8,47.2,66.9,104,11.8,35.11,63.03386912,0.9,5,5.5,51.3,72.4,87.9,86.6,86.5,30.1,100.1518057,0.6195945271,8,739,577,23,496.2,55.1,0.2,47.2,957.8,29,93,147,19,13,1135,47780,13.8
Волгоградская область,31309,26263.8,208,33,77.6,1135,16.3,57.9,25.8,726,7.1,13.7,4.4,-6.6,6.2,4.4,-25,5093,701,586.528,7801,4.2,17.6,8.2,1.8,12.1,8.9,21.1,22.4,24.6,358.8,17.1,33.2,19.7,25.5,0.8,75.3,69.2,217,38.1,85.92,73.70233539,2.2,11.3,11.2,50.3,77,88.2,88.1,88.1,115.6,84.04664346,0.1766141786,35,2518,1242,65,590.6,83.6,1.3,69.2,2492.8,95,242,886,79,10,1675,44242,9.6
Ростовская область,40016,31398.9,263,43,67.7,1145,16.9,57.4,25.7,742,7.8,14.4,4.9,-6.6,7,4.8,-1,5077,1995,1101.925,7220,2.4,15.5,10.2,3,14.8,26.6,24.5,19.9,64,399.1,30.8,29.8,39.3,44.3,0.8,86.8,64.9,125,69.9,193.31,69.51775609,6.6,20,26.4,55,74.3,88.1,87,85.1,233,89.08531948,0.2510588551,56,6269,1924,166,789.7,179.5,4.5,84.6,4192.3,115,345,820,98,19,5785,44767,10.5
Севастополь,35164,30844.3,140,28,92.5,1105,16.9,59.9,23.2,670,7.1,11.2,3.8,-4.1,7.7,4.2,237,2732,100,2.417,4671,34.3,20.2,15.6,0.9,12.1,10.2,14.6,14.8,35,254.9,14.4,40.6,21.8,16.1,5.8,40.7,79.1,6,4.2,24.25,63.5185073,0.8,1.4,2.8,49.9,89.2,89.1,89.1,82.1,53.5,125.0284359,0.3310128785,3,210,134,10,240.2,92.6,0.5,43.1,547.5,19,56,145,20,8,514,43112,9
Республика Дагестан,33343,26774.7,280,37,45.2,1026,25.2,60.8,14,644,13.3,5.1,7.1,8.2,3,5.9,-11,2361,813,940.077,3486,7.3,20.1,5.8,28.9,20.5,24.2,43.3,28.6,24,297.1,53.7,36,32.2,58.9,2.3,68.2,18.4,7,68.8,70.99,36.17257829,2.4,14.3,10.2,39.1,55.7,91,87.5,88.4,25.3,89.88152151,11.76197085,12,2191,1065,32,227.8,122,3,112.4,3186.9,50,71,61,15,52,2228,35082,14.2
Республика Ингушетия,20781,17329,226,43,54.8,1009,27.9,62.4,9.7,602,15.3,3.4,5.4,11.9,2.4,6.1,31,1319,105,140.998,4394,21.8,17.4,3.6,6.3,6,14.9,32.2,20.3,27.2,205,33.3,26.5,26.1,21,0.4,44.6,31,2,0.1,0.83,48.51284595,0.7,2.5,1.7,32.1,74.5,83.7,76,77.8,2.3,29.47533897,85.89274448,4,209,163,10,8.1,46.8,NA,144.5,511.3,15,16,5,2,3,392,32801,30.5
Кабардино-Балкарская Республика,30173,25415.9,298,46,51.8,1107,22,58.9,19.1,697,11.1,8.7,4,2.4,4.7,4.6,-36,5522,285,580.923,5001,15.4,5.2,4,1.9,6,8.5,13.6,14.5,22.9,215.4,17.1,25.8,6.6,12.1,0.7,51.2,52.1,4,3.4,29.42,73.98666211,0.9,3,2.8,28.9,77.3,92.7,92.7,82.3,22.8,146.9113196,2.55562579,11,994,515,16,578.8,94.3,7.4,69.3,904.3,26,29,25,7,10,1224,35251,16.4
